metric,value
average_alignment_r2,0.710410049756368
standard_error_alignment_r2,0.006043692537013641
average_alignment_normalized_mse,0.28958995203177135
standard_error_alignment_normalized_mse,0.006043692770561734
average_alignment_mse,0.29529451111952465
standard_error_alignment_mse,0.006603657944965193
average_alignment_shuffled_r2,-0.01007834890857339
standard_error_alignment_shuffled_r2,0.0002717478860382366
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
