method,coord_ring,counter_circuit,cramped_room5x5,asymm_advantages,forced_coord,Average
ph2v5,0.1434 \pm 0.0076,0.1914 \pm 0.0067,0.0909 \pm 0.0066,,,0.1419 \pm 0.0040
ph2v5_ablate,0.1457 \pm 0.0069,0.1855 \pm 0.0061,0.1027 \pm 0.0081,,,0.1447 \pm 0.0041
ph2v4,0.1458 \pm 0.0055,0.1856 \pm 0.0052,0.0930 \pm 0.0077,,,0.1414 \pm 0.0036
ph2v4_ablate,0.1619 \pm 0.0082,0.2012 \pm 0.0054,0.0854 \pm 0.0058,,,0.1495 \pm 0.0038
e3t,0.1814 \pm 0.0083,0.2296 \pm 0.0068,0.1505 \pm 0.0051,,,0.1871 \pm 0.0040
sp,0.2017 \pm 0.0088,0.2601 \pm 0.0067,0.1130 \pm 0.0061,,,0.1916 \pm 0.0042
fcp,0.1965 \pm 0.0072,0.2738 \pm 0.0075,0.1517 \pm 0.0068,,,0.2073 \pm 0.0041
mep_br,0.1757 \pm 0.0063,0.2400 \pm 0.0075,0.1153 \pm 0.0055,,,0.1770 \pm 0.0037
pbt,0.2108 \pm 0.0071,0.2446 \pm 0.0049,0.2399 \pm 0.0963,,,0.2318 \pm 0.0322
lmpred,0.1416 \pm 0.0061,0.2020 \pm 0.0062,0.0943 \pm 0.0071,,,0.1459 \pm 0.0037
lmpred_ablate,0.1510 \pm 0.0065,0.1869 \pm 0.0063,0.0908 \pm 0.0063,,,0.1429 \pm 0.0037
lmpredV2_ablate_no_self_pred,0.1616 \pm 0.0092,0.1958 \pm 0.0070,0.1014 \pm 0.0102,,,0.1529 \pm 0.0051
lmpredV2_no_self_pred,0.1451 \pm 0.0070,0.2016 \pm 0.0074,0.1010 \pm 0.0074,,,0.1492 \pm 0.0042
lmpredV202,0.1485 \pm 0.0072,0.2142 \pm 0.0060,0.1287 \pm 0.0165,,,0.1638 \pm 0.0063
lmpredV202_ablate,0.1494 \pm 0.0079,0.2116 \pm 0.0059,0.1045 \pm 0.0113,,,0.1552 \pm 0.0050
lmpredV202_gamma0,0.1663 \pm 0.0094,0.2076 \pm 0.0094,0.0995 \pm 0.0079,,,0.1578 \pm 0.0052
lmpredV202_gamma0_ablate,0.1521 \pm 0.0077,0.2111 \pm 0.0084,0.1017 \pm 0.0100,,,0.1550 \pm 0.0051
lmpredV204,0.1577 \pm 0.0068,0.2085 \pm 0.0058,0.0906 \pm 0.0048,,,0.1523 \pm 0.0034
lmpredV204_ablate,0.1601 \pm 0.0094,0.2113 \pm 0.0065,0.0950 \pm 0.0074,,,0.1554 \pm 0.0045
lmpredV204_gamma0,0.1448 \pm 0.0081,0.2102 \pm 0.0050,0.0878 \pm 0.0054,,,0.1476 \pm 0.0036
lmpredV204_gamma0_ablate,0.1527 \pm 0.0105,0.1984 \pm 0.0062,0.1174 \pm 0.0267,,,0.1562 \pm 0.0098
lmpredV2005,0.1479 \pm 0.0072,0.2153 \pm 0.0061,0.0942 \pm 0.0057,,,0.1525 \pm 0.0037
lmpredV2005_ablate,0.1608 \pm 0.0120,0.2105 \pm 0.0073,0.0993 \pm 0.0106,,,0.1569 \pm 0.0059
lmpredV2005_gamma0,0.1658 \pm 0.0120,0.2107 \pm 0.0065,0.0888 \pm 0.0060,,,0.1551 \pm 0.0050
lmpredV2005_gamma0_ablate,0.1488 \pm 0.0063,0.2058 \pm 0.0054,0.0987 \pm 0.0084,,,0.1511 \pm 0.0039
lmpred_ema,0.1547 \pm 0.0091,0.1900 \pm 0.0062,0.1367 \pm 0.0279,,,0.1605 \pm 0.0100
lmpred_ema_ablate,0.1571 \pm 0.0074,0.1931 \pm 0.0057,0.1208 \pm 0.0152,,,0.1570 \pm 0.0059
lmpred_ema_gamma0,0.1390 \pm 0.0094,0.1890 \pm 0.0063,0.0907 \pm 0.0061,,,0.1396 \pm 0.0043
lmpred_ema_gamma09,0.1412 \pm 0.0096,0.1981 \pm 0.0082,0.1130 \pm 0.0126,,,0.1508 \pm 0.0060
lmpred_ema_no_self_pred,0.1507 \pm 0.0083,0.1940 \pm 0.0060,0.1299 \pm 0.0167,,,0.1582 \pm 0.0065
lmpredlow,0.1448 \pm 0.0077,0.1877 \pm 0.0053,0.0882 \pm 0.0056,,,0.1402 \pm 0.0036
lmpredlow_ablate,0.1518 \pm 0.0078,0.1898 \pm 0.0046,0.0966 \pm 0.0058,,,0.1461 \pm 0.0036
lmpredlow_ema,0.1490 \pm 0.0076,0.1962 \pm 0.0054,0.0886 \pm 0.0052,,,0.1446 \pm 0.0035
lmpredlow_ema_ablate,0.1573 \pm 0.0082,0.2006 \pm 0.0058,0.1106 \pm 0.0080,,,0.1561 \pm 0.0043
