method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.9134 \pm 0.0034,0.8688 \pm 0.0041,0.9481 \pm 0.0029,0.9101 \pm 0.0020
ph2v5_ablate,0.9089 \pm 0.0038,0.8745 \pm 0.0039,0.9458 \pm 0.0030,0.9097 \pm 0.0021
ph2v4,0.9074 \pm 0.0032,0.8728 \pm 0.0035,0.9462 \pm 0.0036,0.9088 \pm 0.0020
ph2v4_ablate,0.9065 \pm 0.0037,0.8674 \pm 0.0032,0.9514 \pm 0.0029,0.9084 \pm 0.0019
e3t,0.8739 \pm 0.0046,0.8279 \pm 0.0044,0.8929 \pm 0.0038,0.8649 \pm 0.0025
sp,0.8783 \pm 0.0045,0.8362 \pm 0.0042,0.9337 \pm 0.0030,0.8827 \pm 0.0023
fcp,0.8789 \pm 0.0035,0.8224 \pm 0.0046,0.9010 \pm 0.0038,0.8675 \pm 0.0023
mep_br,0.8872 \pm 0.0033,0.8389 \pm 0.0048,0.9294 \pm 0.0031,0.8852 \pm 0.0022
pbt,0.8709 \pm 0.0044,0.8445 \pm 0.0029,0.9295 \pm 0.0066,0.8817 \pm 0.0028
lmpred,0.9100 \pm 0.0035,0.8625 \pm 0.0038,0.9465 \pm 0.0032,0.9063 \pm 0.0020
lmpred_ablate,0.9056 \pm 0.0034,0.8683 \pm 0.0045,0.9481 \pm 0.0030,0.9073 \pm 0.0021
