method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.9285 \pm 0.0032,0.8989 \pm 0.0033,0.9543 \pm 0.0029,0.9272 \pm 0.0018
ph2v5_ablate,0.9259 \pm 0.0031,0.9019 \pm 0.0032,0.9492 \pm 0.0034,0.9257 \pm 0.0019
ph2v4,0.9254 \pm 0.0026,0.9015 \pm 0.0028,0.9544 \pm 0.0032,0.9271 \pm 0.0016
ph2v4_ablate,0.9184 \pm 0.0035,0.8937 \pm 0.0028,0.9560 \pm 0.0028,0.9227 \pm 0.0018
e3t,0.9078 \pm 0.0039,0.8790 \pm 0.0034,0.9196 \pm 0.0029,0.9021 \pm 0.0020
sp,0.8965 \pm 0.0038,0.8582 \pm 0.0036,0.9408 \pm 0.0030,0.8985 \pm 0.0020
fcp,0.8981 \pm 0.0033,0.8506 \pm 0.0043,0.9224 \pm 0.0032,0.8904 \pm 0.0021
mep_br,0.9069 \pm 0.0032,0.8707 \pm 0.0042,0.9395 \pm 0.0028,0.9057 \pm 0.0020
pbt,0.8881 \pm 0.0036,0.8688 \pm 0.0027,0.9379 \pm 0.0056,0.8983 \pm 0.0024
lmpred,0.9271 \pm 0.0031,0.8932 \pm 0.0032,0.9523 \pm 0.0033,0.9242 \pm 0.0018
lmpred_ablate,0.9229 \pm 0.0031,0.9017 \pm 0.0032,0.9539 \pm 0.0029,0.9262 \pm 0.0018
