method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.0151 \pm 0.0012,0.0301 \pm 0.0014,0.0063 \pm 0.0008,0.0172 \pm 0.0007
ph2v5_ablate,0.0170 \pm 0.0015,0.0274 \pm 0.0011,0.0034 \pm 0.0011,0.0159 \pm 0.0007
ph2v4,0.0181 \pm 0.0012,0.0288 \pm 0.0012,0.0082 \pm 0.0008,0.0184 \pm 0.0006
ph2v4_ablate,0.0119 \pm 0.0011,0.0263 \pm 0.0011,0.0046 \pm 0.0007,0.0142 \pm 0.0006
e3t,0.0339 \pm 0.0017,0.0511 \pm 0.0023,0.0267 \pm 0.0016,0.0372 \pm 0.0011
sp,0.0183 \pm 0.0013,0.0220 \pm 0.0012,0.0071 \pm 0.0006,0.0158 \pm 0.0006
fcp,0.0192 \pm 0.0010,0.0282 \pm 0.0013,0.0214 \pm 0.0012,0.0229 \pm 0.0007
mep_br,0.0197 \pm 0.0009,0.0318 \pm 0.0012,0.0101 \pm 0.0008,0.0206 \pm 0.0006
pbt,0.0172 \pm 0.0012,0.0243 \pm 0.0009,0.0083 \pm 0.0040,0.0166 \pm 0.0014
lmpred,0.0171 \pm 0.0009,0.0307 \pm 0.0012,0.0058 \pm 0.0009,0.0179 \pm 0.0006
lmpred_ablate,0.0173 \pm 0.0011,0.0333 \pm 0.0016,0.0058 \pm 0.0006,0.0188 \pm 0.0007
