method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.1619 \pm 0.0106,0.1924 \pm 0.0087,0.0840 \pm 0.0080,0.1461 \pm 0.0053
ph2v5_ablate,0.1640 \pm 0.0132,0.1935 \pm 0.0077,0.0829 \pm 0.0170,0.1468 \pm 0.0076
ph2v4,0.1609 \pm 0.0106,0.1733 \pm 0.0073,0.0848 \pm 0.0046,0.1396 \pm 0.0045
ph2v4_ablate,0.1711 \pm 0.0170,0.2135 \pm 0.0125,0.0718 \pm 0.0067,0.1521 \pm 0.0074
e3t,0.1164 \pm 0.0126,0.1589 \pm 0.0056,0.1622 \pm 0.0055,0.1458 \pm 0.0049
sp,0.1522 \pm 0.0072,0.2160 \pm 0.0082,0.1123 \pm 0.0132,0.1602 \pm 0.0057
lmpred,0.1385 \pm 0.0080,0.1864 \pm 0.0086,0.0813 \pm 0.0103,0.1354 \pm 0.0052
lmpred_ablate,0.1385 \pm 0.0103,0.1663 \pm 0.0079,0.1055 \pm 0.0108,0.1368 \pm 0.0056
lmpred_no_self_pred,0.1543 \pm 0.0100,0.2027 \pm 0.0110,0.0972 \pm 0.0084,0.1514 \pm 0.0057
lmpred_ablate_no_self_pred,0.1697 \pm 0.0196,0.2044 \pm 0.0093,0.1051 \pm 0.0124,0.1597 \pm 0.0083
