method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.8991 \pm 0.0049,0.8711 \pm 0.0063,0.9459 \pm 0.0055,0.9054 \pm 0.0032
ph2v5_ablate,0.8978 \pm 0.0076,0.8715 \pm 0.0044,0.9585 \pm 0.0032,0.9093 \pm 0.0031
ph2v4,0.8980 \pm 0.0064,0.8827 \pm 0.0054,0.9473 \pm 0.0036,0.9093 \pm 0.0030
ph2v4_ablate,0.8997 \pm 0.0076,0.8626 \pm 0.0073,0.9562 \pm 0.0045,0.9061 \pm 0.0038
e3t,0.9251 \pm 0.0055,0.8828 \pm 0.0040,0.8875 \pm 0.0037,0.8985 \pm 0.0026
sp,0.9047 \pm 0.0050,0.8569 \pm 0.0061,0.9403 \pm 0.0048,0.9006 \pm 0.0031
lmpred,0.9115 \pm 0.0050,0.8792 \pm 0.0055,0.9549 \pm 0.0037,0.9152 \pm 0.0028
lmpred_ablate,0.9128 \pm 0.0060,0.8884 \pm 0.0053,0.9436 \pm 0.0044,0.9149 \pm 0.0030
lmpred_no_self_pred,0.9013 \pm 0.0055,0.8657 \pm 0.0066,0.9416 \pm 0.0053,0.9029 \pm 0.0034
lmpred_ablate_no_self_pred,0.9022 \pm 0.0081,0.8651 \pm 0.0066,0.9429 \pm 0.0044,0.9034 \pm 0.0038
