method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.9165 \pm 0.0047,0.8987 \pm 0.0046,0.9578 \pm 0.0036,0.9244 \pm 0.0025
ph2v5_ablate,0.9161 \pm 0.0059,0.8968 \pm 0.0040,0.9607 \pm 0.0056,0.9245 \pm 0.0030
ph2v4,0.9166 \pm 0.0048,0.9071 \pm 0.0040,0.9570 \pm 0.0021,0.9269 \pm 0.0022
ph2v4_ablate,0.9141 \pm 0.0068,0.8876 \pm 0.0063,0.9641 \pm 0.0030,0.9219 \pm 0.0032
e3t,0.9442 \pm 0.0047,0.9158 \pm 0.0028,0.9146 \pm 0.0027,0.9249 \pm 0.0020
sp,0.9178 \pm 0.0040,0.8830 \pm 0.0044,0.9461 \pm 0.0053,0.9156 \pm 0.0027
lmpred,0.9281 \pm 0.0040,0.9020 \pm 0.0045,0.9602 \pm 0.0039,0.9301 \pm 0.0024
lmpred_ablate,0.9282 \pm 0.0052,0.9126 \pm 0.0039,0.9490 \pm 0.0046,0.9299 \pm 0.0027
lmpred_no_self_pred,0.9205 \pm 0.0044,0.8933 \pm 0.0053,0.9518 \pm 0.0037,0.9219 \pm 0.0026
lmpred_ablate_no_self_pred,0.9181 \pm 0.0073,0.8914 \pm 0.0051,0.9484 \pm 0.0053,0.9193 \pm 0.0035
