method,coord_ring,counter_circuit,cramped_room5x5,Average
ph2v5,0.0174 \pm 0.0012,0.0276 \pm 0.0022,0.0119 \pm 0.0022,0.0190 \pm 0.0011
ph2v5_ablate,0.0182 \pm 0.0024,0.0253 \pm 0.0014,0.0022 \pm 0.0029,0.0152 \pm 0.0013
ph2v4,0.0186 \pm 0.0021,0.0244 \pm 0.0016,0.0097 \pm 0.0019,0.0176 \pm 0.0011
ph2v4_ablate,0.0144 \pm 0.0027,0.0250 \pm 0.0016,0.0079 \pm 0.0020,0.0158 \pm 0.0012
e3t,0.0191 \pm 0.0022,0.0330 \pm 0.0019,0.0271 \pm 0.0021,0.0264 \pm 0.0012
sp,0.0131 \pm 0.0015,0.0261 \pm 0.0026,0.0058 \pm 0.0017,0.0150 \pm 0.0011
lmpred,0.0166 \pm 0.0016,0.0227 \pm 0.0017,0.0053 \pm 0.0009,0.0149 \pm 0.0009
lmpred_ablate,0.0154 \pm 0.0017,0.0242 \pm 0.0021,0.0054 \pm 0.0012,0.0150 \pm 0.0010
lmpred_no_self_pred,0.0192 \pm 0.0022,0.0276 \pm 0.0026,0.0102 \pm 0.0020,0.0190 \pm 0.0013
lmpred_ablate_no_self_pred,0.0159 \pm 0.0022,0.0263 \pm 0.0021,0.0055 \pm 0.0016,0.0159 \pm 0.0012
