metric,value
average_alignment_r2,0.800863938331604
standard_error_alignment_r2,0.009084306596913774
average_alignment_normalized_mse,0.19913605988025665
standard_error_alignment_normalized_mse,0.009084305427702668
average_alignment_mse,0.1988651180267334
standard_error_alignment_mse,0.009267054491980124
average_alignment_shuffled_r2,-0.0188177140802145
standard_error_alignment_shuffled_r2,0.0007332254170715576
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
