metric,value
average_alignment_r2,0.6410719740390778
standard_error_alignment_r2,0.017230514029863083
average_alignment_normalized_mse,0.3589280188083649
standard_error_alignment_normalized_mse,0.017230512602017786
average_alignment_mse,0.3747163939476013
standard_error_alignment_mse,0.018871874444154786
average_alignment_shuffled_r2,-0.024692784398794174
standard_error_alignment_shuffled_r2,0.0012706395134315228
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
