metric,value
average_alignment_r2,0.7972676968574524
standard_error_alignment_r2,0.009052677505299037
average_alignment_normalized_mse,0.2027323079109192
standard_error_alignment_normalized_mse,0.009052677443046385
average_alignment_mse,0.20449243664741515
standard_error_alignment_mse,0.010291833066387552
average_alignment_shuffled_r2,-0.018188044615089893
standard_error_alignment_shuffled_r2,0.0008763549438480847
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
