metric,value
average_alignment_r2,0.5458829867839813
standard_error_alignment_r2,0.01364304055557096
average_alignment_normalized_mse,0.45411701321601866
standard_error_alignment_normalized_mse,0.013643039808945476
average_alignment_mse,0.4546411836147308
standard_error_alignment_mse,0.014211274409416714
average_alignment_shuffled_r2,-0.018666461035609247
standard_error_alignment_shuffled_r2,0.0003728126281369244
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
