metric,value
average_alignment_r2,0.682486172914505
standard_error_alignment_r2,0.012769087109254743
average_alignment_normalized_mse,0.31751382946968076
standard_error_alignment_normalized_mse,0.012769085649731577
average_alignment_mse,0.3309803730249405
standard_error_alignment_mse,0.020013204910629377
average_alignment_shuffled_r2,-0.02218483965843916
standard_error_alignment_shuffled_r2,0.0007548984234786424
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
