metric,value
average_alignment_r2,0.8944775938987732
standard_error_alignment_r2,0.01955819421735148
average_alignment_normalized_mse,0.1055224084854126
standard_error_alignment_normalized_mse,0.019558193579299468
average_alignment_mse,0.10779698595404624
standard_error_alignment_mse,0.021503343720232836
average_alignment_shuffled_r2,-0.028597307428717612
standard_error_alignment_shuffled_r2,0.007273364817898002
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
