metric,value
average_alignment_r2,0.8567894601821899
standard_error_alignment_r2,0.0059074463175941725
average_alignment_normalized_mse,0.143210539072752
standard_error_alignment_normalized_mse,0.005907446696283341
average_alignment_mse,0.1434847750266393
standard_error_alignment_mse,0.006033976984486337
average_alignment_shuffled_r2,-0.020628130349020165
standard_error_alignment_shuffled_r2,0.000964479711406784
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
