metric,value
average_alignment_r2,0.6291834628582
standard_error_alignment_r2,0.007535735334171255
average_alignment_normalized_mse,0.37081653436024986
standard_error_alignment_normalized_mse,0.007535734607896641
average_alignment_mse,0.3802803059418996
standard_error_alignment_mse,0.008426440536928335
average_alignment_shuffled_r2,-0.02103022052596013
standard_error_alignment_shuffled_r2,0.0004451361431174284
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
