metric,value
average_alignment_r2,0.8363782143592835
standard_error_alignment_r2,0.0036796309592867626
average_alignment_normalized_mse,0.16362178683280945
standard_error_alignment_normalized_mse,0.0036796307698253325
average_alignment_mse,0.16471671998500825
standard_error_alignment_mse,0.00388592190067666
average_alignment_shuffled_r2,-0.018125863249103227
standard_error_alignment_shuffled_r2,0.00043716279806228515
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
