metric,value
average_alignment_r2,0.5641104567050934
standard_error_alignment_r2,0.010199236541846365
average_alignment_normalized_mse,0.4358895438909531
standard_error_alignment_normalized_mse,0.010199236770454666
average_alignment_mse,0.4414324458440145
standard_error_alignment_mse,0.011287463424031722
average_alignment_shuffled_r2,-0.024844448268413543
standard_error_alignment_shuffled_r2,0.0009207338001676419
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
