metric,value
average_alignment_r2,0.7042584013938904
standard_error_alignment_r2,0.007776184787271225
average_alignment_normalized_mse,0.2957416021823883
standard_error_alignment_normalized_mse,0.007776184967731493
average_alignment_mse,0.3023129624128342
standard_error_alignment_mse,0.008867558944973708
average_alignment_shuffled_r2,-0.02259526152163744
standard_error_alignment_shuffled_r2,0.0006621212007078023
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
