metric,value
average_alignment_r2,0.9285627778371175
standard_error_alignment_r2,0.005128480455418548
average_alignment_normalized_mse,0.0714372227092584
standard_error_alignment_normalized_mse,0.005128480304842274
average_alignment_mse,0.07168785179654757
standard_error_alignment_mse,0.0051857027119999455
average_alignment_shuffled_r2,-0.024141228931645553
standard_error_alignment_shuffled_r2,0.0022182720350522513
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
