metric,value
average_alignment_r2,0.8322930562496186
standard_error_alignment_r2,0.01911588854434897
average_alignment_normalized_mse,0.16770694375038148
standard_error_alignment_normalized_mse,0.01911589044426641
average_alignment_mse,0.17039430946111678
standard_error_alignment_mse,0.021316716143941268
average_alignment_shuffled_r2,-0.022111078798770903
standard_error_alignment_shuffled_r2,0.00268615497263931
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
