metric,value
average_alignment_r2,0.7555130314826966
standard_error_alignment_r2,0.009325192924119024
average_alignment_normalized_mse,0.2444869726896286
standard_error_alignment_normalized_mse,0.009325191716972788
average_alignment_mse,0.2485571402311325
standard_error_alignment_mse,0.011696087763118592
average_alignment_shuffled_r2,-0.01943511113524437
standard_error_alignment_shuffled_r2,0.0008104377550523975
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
