metric,value
average_alignment_r2,0.84210209608078
standard_error_alignment_r2,0.006614269312224458
average_alignment_normalized_mse,0.15789789825677872
standard_error_alignment_normalized_mse,0.006614269473258312
average_alignment_mse,0.1578776940703392
standard_error_alignment_mse,0.007229912833216572
average_alignment_shuffled_r2,-0.016580694429576395
standard_error_alignment_shuffled_r2,0.0005950337881765403
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
