metric,value
average_alignment_r2,0.717073209285736
standard_error_alignment_r2,0.013781483227718883
average_alignment_normalized_mse,0.2829267901182175
standard_error_alignment_normalized_mse,0.013781482958277472
average_alignment_mse,0.288374719619751
standard_error_alignment_mse,0.014835507665130226
average_alignment_shuffled_r2,-0.02225276529788971
standard_error_alignment_shuffled_r2,0.0010198106563435443
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
