metric,value
average_alignment_r2,0.923383195400238
standard_error_alignment_r2,0.0060008561879101125
average_alignment_normalized_mse,0.07661680027842521
standard_error_alignment_normalized_mse,0.006000856482125623
average_alignment_mse,0.0767768569290638
standard_error_alignment_mse,0.006366945899224262
average_alignment_shuffled_r2,-0.02139809262007475
standard_error_alignment_shuffled_r2,0.0024525495533919816
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
