metric,value
average_alignment_r2,0.8579242539405822
standard_error_alignment_r2,0.008579328664542302
average_alignment_normalized_mse,0.14207574446996052
standard_error_alignment_normalized_mse,0.008579328625592462
average_alignment_mse,0.14322423110405605
standard_error_alignment_mse,0.008938191383165055
average_alignment_shuffled_r2,-0.02274689925213655
standard_error_alignment_shuffled_r2,0.0013020732214357965
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
