metric,value
average_alignment_r2,0.6811239679654439
standard_error_alignment_r2,0.007301288157985003
average_alignment_normalized_mse,0.3188760330279668
standard_error_alignment_normalized_mse,0.0073012884002997816
average_alignment_mse,0.3276649731397629
standard_error_alignment_mse,0.008263373166129453
average_alignment_shuffled_r2,-0.019897102589408557
standard_error_alignment_shuffled_r2,0.00041677087982491194
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
