metric,value
average_alignment_r2,0.8532181445757548
standard_error_alignment_r2,0.0032339835017077614
average_alignment_normalized_mse,0.1467818549275398
standard_error_alignment_normalized_mse,0.003233983500468706
average_alignment_mse,0.14715165575345357
standard_error_alignment_mse,0.0033670217975570642
average_alignment_shuffled_r2,-0.017098881068329016
standard_error_alignment_shuffled_r2,0.0003742042375486316
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
