metric,value
average_alignment_r2,0.5941999733448029
standard_error_alignment_r2,0.011192997028529413
average_alignment_normalized_mse,0.40580002586046854
standard_error_alignment_normalized_mse,0.011192997034250167
average_alignment_mse,0.4147072531779607
standard_error_alignment_mse,0.011489011574964536
average_alignment_shuffled_r2,-0.0235356230661273
standard_error_alignment_shuffled_r2,0.0006686945286686423
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
