metric,value
average_alignment_r2,0.7105711936950684
standard_error_alignment_r2,0.006632676912295813
average_alignment_normalized_mse,0.2894288065036138
standard_error_alignment_normalized_mse,0.006632677049443645
average_alignment_mse,0.2941157696644465
standard_error_alignment_mse,0.007302726766210168
average_alignment_shuffled_r2,-0.022599501324196657
standard_error_alignment_shuffled_r2,0.0007505289960352213
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
