metric,value
average_alignment_r2,0.9301136406262716
standard_error_alignment_r2,0.00541831899809517
average_alignment_normalized_mse,0.06988635862867038
standard_error_alignment_normalized_mse,0.005418319359637214
average_alignment_mse,0.07009239037831624
standard_error_alignment_mse,0.005490254245660676
average_alignment_shuffled_r2,-0.031122621074318887
standard_error_alignment_shuffled_r2,0.005071790793287301
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
