metric,value
average_alignment_r2,0.8150587916374207
standard_error_alignment_r2,0.012762648170728344
average_alignment_normalized_mse,0.18494120568037034
standard_error_alignment_normalized_mse,0.012762646310944023
average_alignment_mse,0.18648922741413115
standard_error_alignment_mse,0.013237939915883424
average_alignment_shuffled_r2,-0.025762319937348364
standard_error_alignment_shuffled_r2,0.002178282282609468
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
