metric,value
average_alignment_r2,0.7971238493919373
standard_error_alignment_r2,0.008310446667582964
average_alignment_normalized_mse,0.2028761500120163
standard_error_alignment_normalized_mse,0.008310446526097363
average_alignment_mse,0.20450658082962037
standard_error_alignment_mse,0.008374275078001352
average_alignment_shuffled_r2,-0.018082800284028054
standard_error_alignment_shuffled_r2,0.0005246616223280082
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
