metric,value
average_alignment_r2,0.9236399674415589
standard_error_alignment_r2,0.007510246010694275
average_alignment_normalized_mse,0.0763600304722786
standard_error_alignment_normalized_mse,0.007510246430773268
average_alignment_mse,0.0767631696164608
standard_error_alignment_mse,0.007747289612274738
average_alignment_shuffled_r2,-0.022310549840331078
standard_error_alignment_shuffled_r2,0.002905950528785702
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
