metric,value
average_alignment_r2,0.869268717765808
standard_error_alignment_r2,0.0050199263069535685
average_alignment_normalized_mse,0.13073128074407578
standard_error_alignment_normalized_mse,0.005019926208901851
average_alignment_mse,0.13166764577229817
standard_error_alignment_mse,0.005179817218749939
average_alignment_shuffled_r2,-0.02240787119915088
standard_error_alignment_shuffled_r2,0.0012603941992932535
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
