metric,value
average_alignment_r2,0.6348220157623291
standard_error_alignment_r2,0.008492877764983595
average_alignment_normalized_mse,0.365177984436353
standard_error_alignment_normalized_mse,0.008492878062652344
average_alignment_mse,0.37721601128578186
standard_error_alignment_mse,0.009199428890186927
average_alignment_shuffled_r2,-0.021255956267317137
standard_error_alignment_shuffled_r2,0.0004912402260531868
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
