metric,value
average_alignment_r2,0.8405343151092529
standard_error_alignment_r2,0.0043596462428337965
average_alignment_normalized_mse,0.15946568528811136
standard_error_alignment_normalized_mse,0.00435964600586836
average_alignment_mse,0.16092915604511895
standard_error_alignment_mse,0.004597166557838207
average_alignment_shuffled_r2,-0.017652331615487734
standard_error_alignment_shuffled_r2,0.0003834385551527581
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
