metric,value
average_alignment_r2,0.5662066117922465
standard_error_alignment_r2,0.010743159550686028
average_alignment_normalized_mse,0.4337933878103892
standard_error_alignment_normalized_mse,0.010743159754103695
average_alignment_mse,0.4446929868062337
standard_error_alignment_mse,0.011170573282135972
average_alignment_shuffled_r2,-0.0276435520251592
standard_error_alignment_shuffled_r2,0.0009138152398843212
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
