metric,value
average_alignment_r2,0.7295333957672119
standard_error_alignment_r2,0.0062654463616565684
average_alignment_normalized_mse,0.27046660443147025
standard_error_alignment_normalized_mse,0.0062654463532690365
average_alignment_mse,0.2793560141324997
standard_error_alignment_mse,0.007425730552892651
average_alignment_shuffled_r2,-0.02295660709341367
standard_error_alignment_shuffled_r2,0.0006487104088695165
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
