metric,value
average_alignment_r2,0.9324952109654745
standard_error_alignment_r2,0.0051702696359868456
average_alignment_normalized_mse,0.06750478843847911
standard_error_alignment_normalized_mse,0.005170269731083096
average_alignment_mse,0.06777165956795216
standard_error_alignment_mse,0.005349600044871398
average_alignment_shuffled_r2,-0.02507830781241258
standard_error_alignment_shuffled_r2,0.0018511916234354507
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
