metric,value
average_alignment_r2,0.8405708765983582
standard_error_alignment_r2,0.009592494684771666
average_alignment_normalized_mse,0.1594291192293167
standard_error_alignment_normalized_mse,0.009592493870204504
average_alignment_mse,0.1608940252661705
standard_error_alignment_mse,0.010044801973176686
average_alignment_shuffled_r2,-0.01958037417382002
standard_error_alignment_shuffled_r2,0.0010327013046404353
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
