metric,value
average_alignment_r2,0.8255224442481994
standard_error_alignment_r2,0.008032494023756307
average_alignment_normalized_mse,0.17447755455970765
standard_error_alignment_normalized_mse,0.008032494842256644
average_alignment_mse,0.17398481220006942
standard_error_alignment_mse,0.007987957553323637
average_alignment_shuffled_r2,-0.017005164176225662
standard_error_alignment_shuffled_r2,0.0005941637013703757
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
