metric,value
average_alignment_r2,0.9112221884727478
standard_error_alignment_r2,0.007360647525818461
average_alignment_normalized_mse,0.08877781257033349
standard_error_alignment_normalized_mse,0.00736064817159462
average_alignment_mse,0.08936045363545418
standard_error_alignment_mse,0.008008899014506023
average_alignment_shuffled_r2,-0.02318994227796793
standard_error_alignment_shuffled_r2,0.0029028313244402375
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
