metric,value
average_alignment_r2,0.8648871374130249
standard_error_alignment_r2,0.007226395597677145
average_alignment_normalized_mse,0.13511286089817684
standard_error_alignment_normalized_mse,0.007226395583945787
average_alignment_mse,0.13659548451503117
standard_error_alignment_mse,0.007468138130352832
average_alignment_shuffled_r2,-0.02192298974841833
standard_error_alignment_shuffled_r2,0.0012776529068623493
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
