metric,value
average_alignment_r2,0.8425120441118876
standard_error_alignment_r2,0.0036580389513646383
average_alignment_normalized_mse,0.15748795529206594
standard_error_alignment_normalized_mse,0.003658039070806264
average_alignment_mse,0.15811738163232802
standard_error_alignment_mse,0.0037443357780897494
average_alignment_shuffled_r2,-0.01725653562694788
standard_error_alignment_shuffled_r2,0.000350676811540404
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
