metric,value
average_alignment_r2,0.6076842161019643
standard_error_alignment_r2,0.010175221714087784
average_alignment_normalized_mse,0.3923157827059428
standard_error_alignment_normalized_mse,0.010175221276706083
average_alignment_mse,0.40333021720250445
standard_error_alignment_mse,0.01082589436907612
average_alignment_shuffled_r2,-0.027358033061027527
standard_error_alignment_shuffled_r2,0.00109400576328151
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
