metric,value
average_alignment_r2,0.8864985656738281
standard_error_alignment_r2,0.011563205908819048
average_alignment_normalized_mse,0.1135014334321022
standard_error_alignment_normalized_mse,0.011563205903894954
average_alignment_mse,0.11641648426651954
standard_error_alignment_mse,0.012593588894771121
average_alignment_shuffled_r2,-0.016292015220969916
standard_error_alignment_shuffled_r2,0.0029468361272522005
average_alignment_neural_predictivity,0.944234778881073
standard_error_alignment_neural_predictivity,0.004703411783009063
average_alignment_blind_neural_predictivity,0.925126028060913
standard_error_alignment_blind_neural_predictivity,0.0055340536360451425
average_alignment_ps_np_gain,0.019108754750341177
standard_error_alignment_ps_np_gain,0.002176913271339713
average_alignment_shuffled_neural_predictivity,0.0034944228734821083
standard_error_alignment_shuffled_neural_predictivity,0.0004032153427317905
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
