metric,value
average_alignment_r2,0.8413883066177368
standard_error_alignment_r2,0.005238866166095886
average_alignment_normalized_mse,0.1586116886138916
standard_error_alignment_normalized_mse,0.005238865848801646
average_alignment_mse,0.15885323852300645
standard_error_alignment_mse,0.005586591040674592
average_alignment_shuffled_r2,-0.008107668310403824
standard_error_alignment_shuffled_r2,0.00017654086092417276
average_alignment_neural_predictivity,0.9157611870765686
standard_error_alignment_neural_predictivity,0.0028245647258169837
average_alignment_blind_neural_predictivity,0.8827991437911987
standard_error_alignment_blind_neural_predictivity,0.003958634312857671
average_alignment_ps_np_gain,0.032962041795253756
standard_error_alignment_ps_np_gain,0.0018887976754053206
average_alignment_shuffled_neural_predictivity,0.0028923692181706427
standard_error_alignment_shuffled_neural_predictivity,0.0003020709820752027
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
