metric,value
average_alignment_r2,0.8385739493370056
standard_error_alignment_r2,0.005073473327719269
average_alignment_normalized_mse,0.1614260521531105
standard_error_alignment_normalized_mse,0.005073473257278969
average_alignment_mse,0.16223901152610778
standard_error_alignment_mse,0.005471926048491579
average_alignment_shuffled_r2,-0.009289273228496313
standard_error_alignment_shuffled_r2,0.00026470524466369014
average_alignment_neural_predictivity,0.9145602416992188
standard_error_alignment_neural_predictivity,0.0026786516604117034
average_alignment_blind_neural_predictivity,0.8874782109260559
standard_error_alignment_blind_neural_predictivity,0.0037427414528615846
average_alignment_ps_np_gain,0.027082028929144145
standard_error_alignment_ps_np_gain,0.002077030829334748
average_alignment_shuffled_neural_predictivity,0.003103019152767956
standard_error_alignment_shuffled_neural_predictivity,0.00030719531602597564
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
