metric,value
average_alignment_r2,0.8617133140563965
standard_error_alignment_r2,0.007591804052740028
average_alignment_normalized_mse,0.13828669369220734
standard_error_alignment_normalized_mse,0.00759180483199832
average_alignment_mse,0.13852818429470062
standard_error_alignment_mse,0.007985976003533166
average_alignment_shuffled_r2,-0.018353955149650575
standard_error_alignment_shuffled_r2,0.0006940511383006513
average_alignment_neural_predictivity,0.9280992293357849
standard_error_alignment_neural_predictivity,0.003968425113627218
average_alignment_blind_neural_predictivity,0.9115234518051147
standard_error_alignment_blind_neural_predictivity,0.0049692704148675305
average_alignment_ps_np_gain,0.0165757736004889
standard_error_alignment_ps_np_gain,0.001641938689957613
average_alignment_shuffled_neural_predictivity,0.0035166356200352312
standard_error_alignment_shuffled_neural_predictivity,0.0002119074330387785
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
