metric,value
average_alignment_r2,0.8141647481918335
standard_error_alignment_r2,0.008488249818832776
average_alignment_normalized_mse,0.18583525449037552
standard_error_alignment_normalized_mse,0.008488249452432952
average_alignment_mse,0.18651107728481292
standard_error_alignment_mse,0.008618820740269484
average_alignment_shuffled_r2,-0.021142816431820394
standard_error_alignment_shuffled_r2,0.0014399592695181777
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
