metric,value
average_alignment_r2,0.9191800904273987
standard_error_alignment_r2,0.009704574184880169
average_alignment_normalized_mse,0.08081991121172905
standard_error_alignment_normalized_mse,0.009704572964722671
average_alignment_mse,0.08129388689994813
standard_error_alignment_mse,0.010276751064575176
average_alignment_shuffled_r2,-0.02175319317728281
standard_error_alignment_shuffled_r2,0.003250584400421277
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
