metric,value
average_alignment_r2,0.8692915344238281
standard_error_alignment_r2,0.018205917735855837
average_alignment_normalized_mse,0.13070846647024154
standard_error_alignment_normalized_mse,0.018205917196562376
average_alignment_mse,0.13336295306682586
standard_error_alignment_mse,0.019594668881063662
average_alignment_shuffled_r2,-0.02775133654475212
standard_error_alignment_shuffled_r2,0.004917887202683722
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
