metric,value
average_alignment_r2,0.8890656065940857
standard_error_alignment_r2,0.009973570455401943
average_alignment_normalized_mse,0.11093439564108848
standard_error_alignment_normalized_mse,0.009973569587631187
average_alignment_mse,0.11200804159045219
standard_error_alignment_mse,0.010174139216393395
average_alignment_shuffled_r2,-0.01847478061914444
standard_error_alignment_shuffled_r2,0.0011712119824758478
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
