metric,value
average_alignment_r2,0.7782868719100953
standard_error_alignment_r2,0.011467267195754872
average_alignment_normalized_mse,0.2217131268978119
standard_error_alignment_normalized_mse,0.011467267111580146
average_alignment_mse,0.2237645009160042
standard_error_alignment_mse,0.012129381782621794
average_alignment_shuffled_r2,-0.019821659289300443
standard_error_alignment_shuffled_r2,0.0009686643194056178
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
