metric,value
average_alignment_r2,0.9425698232650757
standard_error_alignment_r2,0.0053279626669625385
average_alignment_normalized_mse,0.057430175095796586
standard_error_alignment_normalized_mse,0.005327963378922021
average_alignment_mse,0.05798519928008318
standard_error_alignment_mse,0.005284039965392213
average_alignment_shuffled_r2,-0.018618193939328193
standard_error_alignment_shuffled_r2,0.0014321180227334813
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
