metric,value
average_alignment_r2,0.8674985527992248
standard_error_alignment_r2,0.012599811691866681
average_alignment_normalized_mse,0.13250144675374032
standard_error_alignment_normalized_mse,0.012599813590279419
average_alignment_mse,0.13471340015530586
standard_error_alignment_mse,0.013258422332804765
average_alignment_shuffled_r2,-0.022449829652905463
standard_error_alignment_shuffled_r2,0.0019979119216767954
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
