metric,value
average_alignment_r2,0.8535254776477814
standard_error_alignment_r2,0.056413873518463664
average_alignment_normalized_mse,0.1464745232462883
standard_error_alignment_normalized_mse,0.05641387387863652
average_alignment_mse,0.15741123408079147
standard_error_alignment_mse,0.06288129199976486
average_alignment_shuffled_r2,-0.051106352023780346
standard_error_alignment_shuffled_r2,0.024376559100400264
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
