metric,value
average_alignment_r2,0.8206836473941803
standard_error_alignment_r2,0.01950993456547579
average_alignment_normalized_mse,0.17931634485721587
standard_error_alignment_normalized_mse,0.01950993399615497
average_alignment_mse,0.18191477715969084
standard_error_alignment_mse,0.020844376064590057
average_alignment_shuffled_r2,-0.02686018168926239
standard_error_alignment_shuffled_r2,0.00281373932333281
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
