metric,value
average_alignment_r2,0.8513542437553405
standard_error_alignment_r2,0.007508238317625929
average_alignment_normalized_mse,0.14864575535058974
standard_error_alignment_normalized_mse,0.0075082385304693815
average_alignment_mse,0.14825943112373352
standard_error_alignment_mse,0.007747379696570175
average_alignment_shuffled_r2,-0.01717752981930971
standard_error_alignment_shuffled_r2,0.0007033808276968703
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
