metric,value
average_alignment_r2,0.9446389746665954
standard_error_alignment_r2,0.004443663431075609
average_alignment_normalized_mse,0.05536102473735809
standard_error_alignment_normalized_mse,0.004443661669839605
average_alignment_mse,0.054955287873744964
standard_error_alignment_mse,0.004432016174116869
average_alignment_shuffled_r2,-0.017030627205967902
standard_error_alignment_shuffled_r2,0.0006983639337825434
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
