metric,value
average_alignment_r2,0.877010395526886
standard_error_alignment_r2,0.019216679988350274
average_alignment_normalized_mse,0.12298960402607918
standard_error_alignment_normalized_mse,0.019216679356414364
average_alignment_mse,0.1273828700184822
standard_error_alignment_mse,0.022260194825858327
average_alignment_shuffled_r2,-0.04007808852940798
standard_error_alignment_shuffled_r2,0.009441261477080928
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
