metric,value
average_alignment_r2,0.8489970898628235
standard_error_alignment_r2,0.01972863599251335
average_alignment_normalized_mse,0.1510029064118862
standard_error_alignment_normalized_mse,0.01972863489426336
average_alignment_mse,0.15113412231206894
standard_error_alignment_mse,0.019625034711984637
average_alignment_shuffled_r2,-0.03139822453260422
standard_error_alignment_shuffled_r2,0.0036665006420405627
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
